매대,제품수,CSV_제품목록,피그마_확인사항
드로우스트링백,9,"Himmel 시퀸 드로우스트링 백 (gold); Aren 맥시 모노그램 가죽 드로우스트링 백팩 (lotus pink); Pina 스터드 장식 카프스킨 드로우스트링 백 (black); Dessau 맥시 모노그램 레더 드로우스트링 백 (lotus); Aren 비세토스 드로우스트링 백팩 (soft pink); Pina 스터드 장식 카프스킨 드로우스트링 백팩 (black); Dessau 비세토스 드로우스트링 백 (white); Aren 비세토스 드로우스트링 백팩 (beige + black logo); Aren ECONYL®과 가죽 드로우스트링 백팩 (black)","번호/제품명 메모 미확인"
백팩,9,"디아망뜨 양가죽 3D 백팩 (black); Stark 맥시 모노그램 레더 백팩 (navy blazer); Aren 다이아몬드 퀼팅 레더 백팩 (black); Aren ECONYL®과 가죽을 사용한 백팩 (khaki moss); Stark 디스코 비세토스 백팩 (cognac); Stark 갤러틱 갈라 양가죽 백팩 (black); Stark 사이드 스터드 비세토스 백팩 (cinnamon); Stark 비세토스 사이드 스터드 베베 부 백팩 (soft pink); Aren 노바 나일론 백팩 (multi)","번호/제품명 메모 미확인"
베니티/카메라백,9,"Aren 맥시 모노그램 레더 베니티 케이스 (orangeade); Diamond 맥시 모노그램 레더 카메라 백 (black); Aren 비세토스 레더 믹스 베니티 케이스 (soft pink); Aren 맥시 모노그램 레더 베니티 케이스 (lotus); Aren 비세토스 레더 믹스 베니티 케이스 (cognac); Pina 스터드 장식 카프스킨 베니티 케이스 (black); 다이아몬드 비세토스 카메라 백 (cognac); Aren 맥시 모노그램 레더 베니티 케이스 (black); Aren 비세토스 레더 믹스 베니티 케이스 (black)","번호/제품명 메모 미확인"
보스턴백,9,"MCM X ATEEZ with MINGI Ella 비세토스 보스턴 (cognac); Ella 맥시 모노그램 레더 보스턴 백 (lotus); Ella 맥시 비세토스 보스턴 백 (cinnamon); Ella 비세토스 보스턴 백 (black); Ella 디스코 비세토스 보스턴 (cognac); MCM X ATEEZ with MINGI Ella 비세토스 보스턴 (cognac); Ella 비세토스 보스턴 백 (cognac); 비세토스 오리지널 보스턴 백 (cognac); Ella 비세토스 보스턴 백 (soft pink)","번호/제품명 메모 미확인"
쇼퍼백,9,"Toni 그라데이션 탑 지퍼 쇼퍼 (della robbia blue); Himmel 엠보스드 로고 레더 쇼퍼 (black); Dia 비세토스 레더 믹스 쇼퍼 (cognac); New Liz 비세토스 쇼퍼 (beige + black); Toni 맥시 모노그램 레더 탑 지퍼 쇼퍼 (lotus pink); New Liz 비세토스 쇼퍼 (soft pink); Dia 비세토스 카프 스킨 레더 쇼퍼 (black); New Liz 비세토스 쇼퍼 (cinnamon); Dia 카프스킨 쇼퍼 (black)","번호/제품명 메모 미확인"
숄더백,9,"Diamant 3D 다이아몬드 자카드 숄더백 (multi); Dia 퀼팅 메탈릭 카프스킨 숄더백 (platinum gold); Aren 맥시 모노그램 레더 E/W 숄더백 (orangeade); Diamant 3D 갤러틱 갈라 양가죽 숄더백 (black); 디아망뜨 3D 비세토스 레더믹스 숄더백 (cognac); Aren 맥시 모노그램 레더 E/W 숄더백 (lotus); Diamant 3D 카프 레더 숄더백 (terracotta); Diamant 3D 비세토스 레더믹스 숄더백 (white); Dia 퀼팅 카프스킨 숄더백 (black)","번호/제품명 메모 미확인"
위켄더백,9,"Ottomar 맥시 모노그램 레더 위켄더 백 (navy blazer); Ottomar 다이아몬드 퀼팅 레더 위켄더 (black); Ottomar 맥시 비세토스 위켄더 (cinnamon); Ottomar 그라데이션 비세토스 위켄더 (della robbia blue); MCM X We The Best Ottomar 비세토스 위켄더 백 (cognac); Ottomar ECONYL®과 가죽이 더해진 위켄더 백팩 (khaki moss); 비세토스 소재의 오토마 위켄더 백 (black); Ottomar 비세토스 위켄더 (soft pink); Aren 노바 모노그램 ECONYL® 위켄더 (black)","번호/제품명 메모 미확인"
크로스바디백,9,"Aren 다이아몬드 퀼팅 레더 크로스바디 (black); Klassik 맥시 모노그램 레더 크로스바디 (navy blazer); Aren 맥시 모노그램 레더 체인 크로스바디 (lotus pink); Tracy 비세토스 레더믹스 크로스바디 (soft pink); Diamant 비세토스 레더 믹스 3D 크로스바디 (cognac); Aren 엠보스드 모노그램 레더 크로스바디 지갑 (black); Aren ECONYL®과 가죽을 사용한 크로스바디 (khaki moss); Pina 스터드 장식 크로스바디 월렛 (black); Diamant 비세토스 레더 믹스 3D 크로스바디 (cognac)","번호/제품명 메모 미확인"
토트백,9,"Milla 스페니시 엠보스드 레더 토트 (lotus pink); Milla 그레인 가죽 토트 (orangeade); Milla 스페니시 엠보스드 레더 토트 (black); München 다이아몬드 자카드 토트 (multi); Pina 비세토스 스터드 장식 토트 (cognac); Aren 비세토스 스쿨 토트 (cinnamon); Milla 스페니시 엠보스드 레더 토트 (black); Aren 비세토스 스쿨 토트 (soft pink); 다이아몬드 비세토스 E/W 토트 (cognac)","#56=Milla 스페니시 엠보스드 레더 토트; #57=Milla 그레인 가죽 토트; #61=Aren 비세토스 스쿨 토트; Pina 비세토스 스터드 장식 토트도 직접 기재; Aren 비세토스 N/S 토트(Black/Cognac)는 CSV 90개 목록 외"
호보백,9,"Aren 시퀸 양가죽 호보 (black); Aren 듀오 호보 맥시 비세토스와 카프스킨 (cinnamon); Aren 비세토스 듀오 호보 (soft pink); Aren 맥시 모노그램 레더 호보 (black); Aren 맥시 비세토스 호보 (cinnamon); Tracy 비세토스 호보 (cognac); Aren 비세토스 호보 (cognac); Aren 비세토스 듀오 호보 (black); Aren 비세토스 호보 (beige + black)","번호/제품명 메모 미확인"
