category,product_id,name,price_krw,url,image
가방-백팩,MMLGATA02BK001,Aren 엠보스드 모노그램 레더 슬링백,,https://kr.mcmworldwide.com/ko_KR/%EA%B0%80%EB%B0%A9/%EB%B0%B1%ED%8C%A9/aren-%EC%97%A0%EB%B3%B4%EC%8A%A4%EB%93%9C-%EB%AA%A8%EB%85%B8%EA%B7%B8%EB%9E%A8-%EB%A0%88%EB%8D%94-%EC%8A%AC%EB%A7%81%EB%B0%B1/MMLGATA02BK001.html?cgid=bags-backpacks,https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA02BK001_01/aren-black-s?$medium$&fmt=auto&qlt=default
가방-백팩,MMLGATA03CO001,Aren 비세토스 슬링백,,https://kr.mcmworldwide.com/ko_KR/%EA%B0%80%EB%B0%A9/%EB%B0%B1%ED%8C%A9/aren-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EC%8A%AC%EB%A7%81%EB%B0%B1/MMLGATA03CO001.html?cgid=bags-backpacks,https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA03CO001_01/aren-cognac-s?$medium$&fmt=auto&qlt=default
가방-백팩,MMLGATA04CO001,Aren 비세토스 슬링백,,https://kr.mcmworldwide.com/ko_KR/%EA%B0%80%EB%B0%A9/%EB%B0%B1%ED%8C%A9/aren-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EC%8A%AC%EB%A7%81%EB%B0%B1/MMLGATA04CO001.html?cgid=bags-backpacks,https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA04CO001_01/aren-cognac-?$medium$&fmt=auto&qlt=default
가방-백팩,MMKGATA01BK001,Aren 다이아몬드 퀼팅 레더 백팩,,https://kr.mcmworldwide.com/ko_KR/%EA%B0%80%EB%B0%A9/%EB%B0%B1%ED%8C%A9/aren-%EB%8B%A4%EC%9D%B4%EC%95%84%EB%AA%AC%EB%93%9C-%ED%80%BC%ED%8C%85-%EB%A0%88%EB%8D%94-%EB%B0%B1%ED%8C%A9/MMKGATA01BK001.html?cgid=bags-backpacks,https://images.mcmworldwide.com/i/mcmworldwide/MMKGATA01BK001_01/aren-black-m?$medium$&fmt=auto&qlt=default
가방-백팩,MWKGATA01BK001,Pina 스터드 장식 카프스킨 드로우스트링 백팩,,https://kr.mcmworldwide.com/ko_KR/%EA%B0%80%EB%B0%A9/%EB%B0%B1%ED%8C%A9/pina-%EC%8A%A4%ED%84%B0%EB%93%9C-%EC%9E%A5%EC%8B%9D-%EC%B9%B4%ED%94%84%EC%8A%A4%ED%82%A8-%EB%93%9C%EB%A1%9C%EC%9A%B0%EC%8A%A4%ED%8A%B8%EB%A7%81-%EB%B0%B1%ED%8C%A9/MWKGATA01BK001.html?cgid=bags-backpacks,https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA01BK001_01/pina-black-?$medium$&fmt=auto&qlt=default
가방-백팩,MWKFATA01CO001,Aren 비세토스 드로우스트링 백팩,,https://kr.mcmworldwide.com/ko_KR/%EA%B0%80%EB%B0%A9/%EB%B0%B1%ED%8C%A9/aren-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EB%93%9C%EB%A1%9C%EC%9A%B0%EC%8A%A4%ED%8A%B8%EB%A7%81-%EB%B0%B1%ED%8C%A9/MWKFATA01CO001.html?cgid=bags-backpacks,https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA01CO001_01/aren-cognac-s?$medium$&fmt=auto&qlt=default
가방-백팩,MWKGATA03PZ001,Aren 비세토스 드로우스트링 백팩,,https://kr.mcmworldwide.com/ko_KR/%EA%B0%80%EB%B0%A9/%EB%B0%B1%ED%8C%A9/aren-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EB%93%9C%EB%A1%9C%EC%9A%B0%EC%8A%A4%ED%8A%B8%EB%A7%81-%EB%B0%B1%ED%8C%A9/MWKGATA03PZ001.html?cgid=bags-backpacks,https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA03PZ001_01/aren-soft-pink-s?$medium$&fmt=auto&qlt=default
가방-백팩,MWKFATA04BK001,Aren ECONYL®과 가죽 드로우스트링 백팩,,https://kr.mcmworldwide.com/ko_KR/%EA%B0%80%EB%B0%A9/%EB%B0%B1%ED%8C%A9/aren-econyl%C2%AE%EA%B3%BC-%EA%B0%80%EC%A3%BD-%EB%93%9C%EB%A1%9C%EC%9A%B0%EC%8A%A4%ED%8A%B8%EB%A7%81-%EB%B0%B1%ED%8C%A9/MWKFATA04BK001.html?cgid=bags-backpacks,https://kr.mcmworldwide.com/on/demandware.static/-/Sites-MCM_Master_Product_Catalog/default/dw762b7dc1/akeneo-entity/9/a/d/e/9ade2994012b05f550482e6a474a6eb2c21788d5_Icon_SUST.png
가방-백팩,MWKFATA02CO001,Aren 비세토스 드로우스트링 백팩,,https://kr.mcmworldwide.com/ko_KR/%EA%B0%80%EB%B0%A9/%EB%B0%B1%ED%8C%A9/aren-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EB%93%9C%EB%A1%9C%EC%9A%B0%EC%8A%A4%ED%8A%B8%EB%A7%81-%EB%B0%B1%ED%8C%A9/MWKFATA02CO001.html?cgid=bags-backpacks,https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02CO001_01/aren-cognac-?$medium$&fmt=auto&qlt=default
가방-백팩,MWKFATA02PZ001,Aren 비세토스 드로우스트링 백팩,,https://kr.mcmworldwide.com/ko_KR/%EA%B0%80%EB%B0%A9/%EB%B0%B1%ED%8C%A9/aren-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EB%93%9C%EB%A1%9C%EC%9A%B0%EC%8A%A4%ED%8A%B8%EB%A7%81-%EB%B0%B1%ED%8C%A9/MWKFATA02PZ001.html?cgid=bags-backpacks,https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02PZ001_01/aren-soft-pink-?$medium$&fmt=auto&qlt=default
가방-백팩,MWKGATA02I8001,Aren 비세토스 드로우스트링 백팩,,https://kr.mcmworldwide.com/ko_KR/%EA%B0%80%EB%B0%A9/%EB%B0%B1%ED%8C%A9/aren-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EB%93%9C%EB%A1%9C%EC%9A%B0%EC%8A%A4%ED%8A%B8%EB%A7%81-%EB%B0%B1%ED%8C%A9/MWKGATA02I8001.html?cgid=bags-backpacks,https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA02I8001_01/aren-beige-black-?$medium$&fmt=auto&qlt=default
가방-백팩,MWKFATA03BK001,Aren ECONYL®과 가죽 드로우스트링 백팩,,https://kr.mcmworldwide.com/ko_KR/%EA%B0%80%EB%B0%A9/%EB%B0%B1%ED%8C%A9/aren-econyl%C2%AE%EA%B3%BC-%EA%B0%80%EC%A3%BD-%EB%93%9C%EB%A1%9C%EC%9A%B0%EC%8A%A4%ED%8A%B8%EB%A7%81-%EB%B0%B1%ED%8C%A9/MWKFATA03BK001.html?cgid=bags-backpacks,https://kr.mcmworldwide.com/on/demandware.static/-/Sites-MCM_Master_Product_Catalog/default/dw762b7dc1/akeneo-entity/9/a/d/e/9ade2994012b05f550482e6a474a6eb2c21788d5_Icon_SUST.png
