product_id,name,price_krw,collection,summary,description,material,lining,dimensions,origin,color,size,availability,features,images,url
MMLGATA02BK001,Aren 엠보스드 모노그램 레더 슬링백,,Aren,엠보싱 비세토스 모노그램 모티프가 돋보이는 레더 슬링백,"하우스의 장인정신이 깃든 나파 가죽 소재의 Aren 스몰 슬링백. 클래식 비세토스 모노그램을 엠보싱으로 표현했으며, 싱글 스트랩 디자인으로 자유로운 움직임을 고려한 세련된 실루엣을 완성했습니다.",나파 레더,코튼 트윌 안감,약 9 x 21 x 37 센티미터,이탈리아,black,S,품절,66.5 cm to 116 cm strap length | 길이 조절이 가능한 패브릭 웨빙 스트랩 | 엠보스드 비세토스 모노그램 | 앞면 지퍼 포켓 | 양방향 지퍼 클로저 | 내부 포켓 | 바디:나파 레더 | 다크 실버톤 코발트 메탈 하드웨어 | 코튼 트윌 안감 | 약 9 x 21 x 37 센티미터 | 스트랩 길이: 66.5cm - 116cm | 제조국: 이탈리아,https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA02BK001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA02BK001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA02BK001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA02BK001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA02BK001_05 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA02BK001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA02BK001_11 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA02BK001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA02BK001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA02BK001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA02BK001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA02BK001_05 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA02BK001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA02BK001_11,https://kr.mcmworldwide.com/ko_KR/%EA%B0%80%EB%B0%A9/%EB%B0%B1%ED%8C%A9/aren-%EC%97%A0%EB%B3%B4%EC%8A%A4%EB%93%9C-%EB%AA%A8%EB%85%B8%EA%B7%B8%EB%9E%A8-%EB%A0%88%EB%8D%94-%EC%8A%AC%EB%A7%81%EB%B0%B1/MMLGATA02BK001.html?cgid=bags-backpacks
MMLGATA03CO001,Aren 비세토스 슬링백,,Aren,나파 가죽 트림이 더해진 비세토스 모노그램 캔버스 슬링백,기능적인 측면에 집중하여 활동적인 자유로움을 선사하는 Aren(아렌) 슬링백은 뮌헨 하우스의 시그니처 모노그램으로 감싼 매끄러운 실루엣이 특징입니다. 정교한 가죽 디테일로 마무리된 이 현대적인 동반자는 독특한 헤링본 웨빙 스트랩과 만나 자유로운 여정과 활동적인 라이프스타일을 완벽하게 구현합니다.,비세토스 모노그램 캔버스,코튼 트윌 안감,약 9 x 21 x 37 센티미터,대한민국,cognac,S,품절,길이 조절이 가능한 헤링본 패브릭 웨빙 스트랩 | 앞면 지퍼 포켓 | 뒷면 외부 슬립 포켓 | 양방향 지퍼 클로저 | 테블릿과 디바이스 수납을 위한 내부 슬리브 | 바디:비세토스 모노그램 캔버스 | 트림: 나파 가죽 | 24K 골드 도금 브라스 하드웨어 | 코튼 트윌 안감 | 약 9 x 21 x 37 센티미터 | 스트랩 길이: 66.5cm - 116cm | 제조국: 대한민국,https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA03CO001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA03CO001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA03CO001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA03CO001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA03CO001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA03CO001_05 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA03CO001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA03CO001_11 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA03CO001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA03CO001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA03CO001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA03CO001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA03CO001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA03CO001_05 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA03CO001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA03CO001_11,https://kr.mcmworldwide.com/ko_KR/%EA%B0%80%EB%B0%A9/%EB%B0%B1%ED%8C%A9/aren-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EC%8A%AC%EB%A7%81%EB%B0%B1/MMLGATA03CO001.html?cgid=bags-backpacks
MMLGATA04CO001,Aren 비세토스 슬링백,,Aren,나파 가죽 트림이 더해진 비세토스 모노그램 캔버스 슬링백,"모빌리티에 초점을 맞춘 세련된 디자인의 x-mini Aren 슬링백. 뮌헨 하우스의 클래식 코드가 더해진 간결한 실루엣과 시그니처 브라스 플레이트가 특징입니다. 가죽 디테일과 싱글 웨빙 스트랩이 자유로운 움직임을 선사하며, 컴팩트한 디자인을 완성합니다.",비세토스 모노그램 캔버스,코튼 트윌 안감,약 7 x 17 x 26 센티미터,대한민국,cognac,엑스트라 미니,품절,63 cm to 110 cm strap length | 길이 조절이 가능한 패브릭 웨빙 스트랩 | 앞면 지퍼 포켓 | 외부 포켓 | 양방향 지퍼 클로저 | 바디:비세토스 모노그램 캔버스 | 트림: 나파 가죽 | 24K 골드 도금 브라스 하드웨어 | 코튼 트윌 안감 | 약 7 x 17 x 26 센티미터 | 스트랩 길이: 63cm - 110cm | 제조국: 대한민국,https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA04CO001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA04CO001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA04CO001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA04CO001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA04CO001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA04CO001_05 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA04CO001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA04CO001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA04CO001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA04CO001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA04CO001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA04CO001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA04CO001_05 | https://images.mcmworldwide.com/i/mcmworldwide/MMLGATA04CO001_10,https://kr.mcmworldwide.com/ko_KR/%EA%B0%80%EB%B0%A9/%EB%B0%B1%ED%8C%A9/aren-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EC%8A%AC%EB%A7%81%EB%B0%B1/MMLGATA04CO001.html?cgid=bags-backpacks
MMKGATA01BK001,Aren 다이아몬드 퀼팅 레더 백팩,,Aren,다이아몬드 모티프 퀼딩 나파가죽 백팩,백팩을 한층 세련된 실루엣으로 완성한 최신 Aren 백팩은 최고급 나파 가죽에 적용된 바이에른 다이아몬드 퀼팅 패턴을 통해 하우스의 뛰어난 장인정신을 보여줍니다.,나파 레더,리사이클 코튼 라이닝,약 20 x 29 x 45 센티미터,이탈리아,black,M,품절,길이 조절이 가능한 숄더 스트랩 | 가죽 탑 핸들 | 다이아몬드 퀼팅 모티프 | 로고 브라스 플레이트 | 양방향 지퍼 클로저 | 13인치 노트북 수납이 가능한 내부 슬리브 및 포켓 | 바디:나파 레더 | 무광 블랙 메탈 하드웨어 | 리사이클 코튼 라이닝 | 약 20 x 29 x 45 센티미터 | 제조국: 이탈리아,https://images.mcmworldwide.com/i/mcmworldwide/MMKGATA01BK001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGATA01BK001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGATA01BK001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGATA01BK001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGATA01BK001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGATA01BK001_06 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGATA01BK001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGATA01BK001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGATA01BK001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGATA01BK001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGATA01BK001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGATA01BK001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGATA01BK001_06 | https://images.mcmworldwide.com/i/mcmworldwide/MMKGATA01BK001_10,https://kr.mcmworldwide.com/ko_KR/%EA%B0%80%EB%B0%A9/%EB%B0%B1%ED%8C%A9/aren-%EB%8B%A4%EC%9D%B4%EC%95%84%EB%AA%AC%EB%93%9C-%ED%80%BC%ED%8C%85-%EB%A0%88%EB%8D%94-%EB%B0%B1%ED%8C%A9/MMKGATA01BK001.html?cgid=bags-backpacks
MWKGATA01BK001,Pina 스터드 장식 카프스킨 드로우스트링 백팩,,Pina,"메탈 로고 스터드 장식, 체인 핸들, 탈부착 가능한 숄더 스트랩으로 실용성을 더한 그레인 가죽 드로우스트링 백팩","그레인 카프스킨으로 제작된 Pina(피나) 백팩. 하우스의 시그니처 코드를 담은 메탈 로고 스터드와 아이코닉한 로고 브라스 플레이트가 디자인을 돋보이게 합니다. 뮌헨의 바이에른 다이아몬드에서 영감을 받은 버클 디테일이 전면 플랩을 장식하며, 탈부착 및 길이 조절이 가능한 스트랩으로 크로스바디 백 또는 키즈 백팩으로 다양하게 연출할 수 있습니다.",100% 카프스킨,스웨이드 마감의 극세사 안감,약 11 x 23 x 25 센티미터,이탈리아,black,미니,품절,"탈부착 가능한 가죽 숄더 스트랩 | 가죽 탑 핸들 | 체인 핸들 | 로고 브라스 플레이트 | 금속 로고 스터드 장식 | 앞면 플랩 포켓 | 마그네틱 스냅 클로저와 가죽 끈 조임 장치 | 내부 포켓 | 바디:100% 카프스킨 | 24K 골드 도금 브라스 하드웨어 | 스웨이드 마감의 극세사 안감 | 약 11 x 23 x 25 센티미터 | 스트랩 길이: 85cm - 96cm, 핸들 드롭: 8cm | 제조국: 이탈리아",https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA01BK001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA01BK001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA01BK001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA01BK001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA01BK001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA01BK001_05 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA01BK001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA01BK001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA01BK001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA01BK001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA01BK001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA01BK001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA01BK001_05 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA01BK001_10,https://kr.mcmworldwide.com/ko_KR/%EA%B0%80%EB%B0%A9/%EB%B0%B1%ED%8C%A9/pina-%EC%8A%A4%ED%84%B0%EB%93%9C-%EC%9E%A5%EC%8B%9D-%EC%B9%B4%ED%94%84%EC%8A%A4%ED%82%A8-%EB%93%9C%EB%A1%9C%EC%9A%B0%EC%8A%A4%ED%8A%B8%EB%A7%81-%EB%B0%B1%ED%8C%A9/MWKGATA01BK001.html?cgid=bags-backpacks
MWKFATA01CO001,Aren 비세토스 드로우스트링 백팩,,Aren,버클 하드웨어 장식과 천연 가죽 트림이 더해진 비세토스 모노그램 캔버스 드로스트링 백팩,"하우스의 클래식한 드로우스트링 버킷 디자인이 클래식 코냑 컬러의 세련된 백팩으로 재탄생했습니다. 비세토스 캔버스와 천연 가죽으로 제작되었으며, 여러 개의 수납공간과 바이에른 다이아몬드에서 영감을 받은 버클 하드웨어가 특징입니다.",비세토스 모노그램 캔버스,스웨이드 마감의 극세사 안감,약 13 x 29 x 32 센티미터,대한민국,cognac,S,품절,"길이 조절이 가능한 숄더 스트랩 | 가죽 탑 핸들 | 마그네틱 스냅 클로저와 가죽 끈 조임 장치 | 버클 장식 | 자석 잠금 장치가 있는 앞면 플랩 포켓 | 내부 슬립 포켓 | 바디:비세토스 모노그램 캔버스 | 트림:천연 가죽 | 24K 골드 도금 브라스 하드웨어 | 스웨이드 마감의 극세사 안감 | 약 13 x 29 x 32 센티미터 | 스트랩 길이:76 cm - 83 cm, 핸들 길이: 8.5 cm | 제조국: 대한민국",https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA01CO001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA01CO001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA01CO001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA01CO001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA01CO001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA01CO001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA01CO001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA01CO001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA01CO001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA01CO001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA01CO001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA01CO001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA01CO001_01,https://kr.mcmworldwide.com/ko_KR/%EA%B0%80%EB%B0%A9/%EB%B0%B1%ED%8C%A9/aren-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EB%93%9C%EB%A1%9C%EC%9A%B0%EC%8A%A4%ED%8A%B8%EB%A7%81-%EB%B0%B1%ED%8C%A9/MWKFATA01CO001.html?cgid=bags-backpacks
MWKGATA03PZ001,Aren 비세토스 드로우스트링 백팩,,Aren,버클 하드웨어 장식과 가죽 트림이 더해진 비세토스 모노그램 캔버스 드로스트링 백팩,"하우스의 클래식 드로스트링 버킷 디자인을 세련된 백팩으로 재해석한 아이템. 시그니처 소프트 핑크 컬러의 비세토스 캔버스와 가죽으로 완성되었으며, 바이에른 다이아몬드에서 영감을 받은 버클 하드웨어가 돋보이는 다양한 수납공간이 특징입니다.",비세토스 모노그램 캔버스,스웨이드 마감의 극세사 안감,약 13 x 29 x 32 센티미터,대한민국,soft pink,S,품절,"길이 조절이 가능한 숄더 스트랩 | 가죽 탑 핸들 | 마그네틱 스냅 클로저와 가죽 끈 조임 장치 | 버클 장식 | 자석 잠금 장치가 있는 앞면 플랩 포켓 | 내부 슬립 포켓 | 바디:비세토스 모노그램 캔버스 | 레더 트림 | 16K 골드 도금 메탈 하드웨어 | 스웨이드 마감의 극세사 안감 | 약 13 x 29 x 32 센티미터 | 스트랩 길이: 76cm - 83cm, 핸들 드롭: 8.5cm | 제조국: 대한민국",https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA03PZ001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA03PZ001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA03PZ001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA03PZ001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA03PZ001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA03PZ001_05 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA03PZ001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA03PZ001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA03PZ001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA03PZ001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA03PZ001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA03PZ001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA03PZ001_05 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA03PZ001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MWKGATA03PZ001_01,https://kr.mcmworldwide.com/ko_KR/%EA%B0%80%EB%B0%A9/%EB%B0%B1%ED%8C%A9/aren-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EB%93%9C%EB%A1%9C%EC%9A%B0%EC%8A%A4%ED%8A%B8%EB%A7%81-%EB%B0%B1%ED%8C%A9/MWKGATA03PZ001.html?cgid=bags-backpacks
MWKFATA04BK001,Aren ECONYL®과 가죽 드로우스트링 백팩,,Aren,바바리안 다이아몬드 메탈 버클 하드웨어와 비세토스 모노그램 프린트 가죽 트림이 돋보이는 ECONYL® 드로우스트링 백팩,"하우스의 클래식한 드로스트링 버킷 디자인이 세련된 백팩으로 재탄생했습니다. ECONYL® 리사이클드 나일론과 비세토스 모노그램 프린트 가죽으로 완성된 이 우아한 백은, 뮌헨 바이에른 다이아몬드에서 영감을 받은 버클 하드웨어가 포인트이며 다양한 수납 공간을 자랑합니다.",ECONYL® 재생 나일론,패브릭 안감,약 11 x 23 x 25 센티미터,대한민국,black,S,품절,"길이 조절이 가능한 가죽 숄더 스트랩 | 가죽 탑 핸들 | 마그네틱 스냅 클로저와 가죽 끈 조임 장치 | 바바리안 다이아몬드 메탈 버클 장식 | 자석 잠금 장치가 있는 앞면 플랩 포켓 | 내부 슬립 포켓 | 바디:ECONYL® 재생 나일론 | 트림: 비세토스 모노그램 프린트가 더해진 그레인 레더 | 실버톤 코발트 메탈 하드웨어 | 패브릭 안감 | 약 11 x 23 x 25 센티미터 | 스트랩 길이: 76cm - 83cm, 핸들 드롭: 8.5cm | 제조국: 대한민국",https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA04BK001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA04BK001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA04BK001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA04BK001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA04BK001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA04BK001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA04BK001_11 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA04BK001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA04BK001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA04BK001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA04BK001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA04BK001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA04BK001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA04BK001_11,https://kr.mcmworldwide.com/ko_KR/%EA%B0%80%EB%B0%A9/%EB%B0%B1%ED%8C%A9/aren-econyl%C2%AE%EA%B3%BC-%EA%B0%80%EC%A3%BD-%EB%93%9C%EB%A1%9C%EC%9A%B0%EC%8A%A4%ED%8A%B8%EB%A7%81-%EB%B0%B1%ED%8C%A9/MWKFATA04BK001.html?cgid=bags-backpacks
MWKFATA02CO001,Aren 비세토스 드로우스트링 백팩,,Aren,"탈부착 가능한 체인 핸들과 숄더 스트랩, 천연 가죽 트림이 더해진 비세토스 모노그램 캔버스 컨버터블 백팩","하우스의 클래식한 드로우스트링 버킷 디자인이 우아한 체인 핸들이 더해진 미니 백팩으로 재탄생했습니다. 소프트 핑크 비세토스 캔버스와 천연 가죽으로 제작되었으며, 뮌헨의 바이에른 다이아몬드에서 영감을 받은 버클 하드웨어가 포인트를 더합니다. 숄더 스트랩은 탈착 및 길이 조절이 가능해, 크로스바디 백 또는 아동용 백팩으로도 연출할 수 있습니다.",비세토스 모노그램 캔버스,스웨이드 마감의 극세사 안감,약 11 x 23 x 25 센티미터,대한민국,cognac,미니,품절,"탈부착 가능한 숄더 스트랩 | 가죽 탑 핸들 | 탈착 가능한 체인 핸들 | 앞면 플랩 포켓 | 마그네틱 스냅 클로저와 가죽 끈 조임 장치 | 버클 장식 | 내부 슬립 포켓 | 바디:비세토스 모노그램 캔버스 | 트림:천연 가죽 | 24K 골드 도금 브라스 하드웨어 | 스웨이드 마감의 극세사 안감 | 약 11 x 23 x 25 센티미터 | 스트랩 길이:85 cm - 96 cm, 핸들 길이: 8 cm | 제조국: 대한민국",https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02CO001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02CO001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02CO001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02CO001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02CO001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02CO001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02CO001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02CO001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02CO001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02CO001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02CO001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02CO001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02CO001_01,https://kr.mcmworldwide.com/ko_KR/%EA%B0%80%EB%B0%A9/%EB%B0%B1%ED%8C%A9/aren-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EB%93%9C%EB%A1%9C%EC%9A%B0%EC%8A%A4%ED%8A%B8%EB%A7%81-%EB%B0%B1%ED%8C%A9/MWKFATA02CO001.html?cgid=bags-backpacks
MWKFATA02PZ001,Aren 비세토스 드로우스트링 백팩,,Aren,"체인 핸들, 탈부착 가능한 숄더 스트랩, 천연 가죽 트림이 더해진 비세토스 모노그램 캔버스 드로스트링 백팩","하우스의 클래식한 드로우스트링 버킷 디자인이 우아한 체인 핸들이 더해진 미니 백팩으로 재탄생했습니다. 소프트 핑크 비세토스 캔버스와 천연 가죽으로 제작되었으며, 뮌헨의 바이에른 다이아몬드에서 영감을 받은 버클 하드웨어가 포인트를 더합니다. 숄더 스트랩은 탈착 및 길이 조절이 가능해, 크로스바디 백 또는 아동용 백팩으로도 연출할 수 있습니다.",비세토스 모노그램 캔버스,스웨이드 마감의 극세사 안감,약 11 x 23 x 25 센티미터,대한민국,soft pink,미니,품절,"탈부착 가능한 숄더 스트랩 | 가죽 탑 핸들 | 체인 핸들 | 앞면 플랩 포켓 | 마그네틱 스냅 클로저와 가죽 끈 조임 장치 | 내부 포켓 | 바디:비세토스 모노그램 캔버스 | 트림: 천연 나파 가죽 | 18K 골드 도금 메탈 하드웨어 | 스웨이드 마감의 극세사 안감 | 약 11 x 23 x 25 센티미터 | 스트랩 길이:85 cm - 96 cm, 핸들 길이: 8 cm | 제조국: 대한민국",https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02PZ001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02PZ001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02PZ001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02PZ001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02PZ001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02PZ001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02PZ001_01 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02PZ001_09 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02PZ001_02 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02PZ001_03 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02PZ001_04 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02PZ001_10 | https://images.mcmworldwide.com/i/mcmworldwide/MWKFATA02PZ001_01,https://kr.mcmworldwide.com/ko_KR/%EA%B0%80%EB%B0%A9/%EB%B0%B1%ED%8C%A9/aren-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EB%93%9C%EB%A1%9C%EC%9A%B0%EC%8A%A4%ED%8A%B8%EB%A7%81-%EB%B0%B1%ED%8C%A9/MWKFATA02PZ001.html?cgid=bags-backpacks
